Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR
61,Male,35717.43,Urban,Banner,Travel,Social Media,3,2024-01-18 20:45:56.898459,0.0981,0.0737
41,Male,47453.25,Rural,Video,Travel,Search Engine,5,2023-04-24 20:45:56.898459,0.0937,0.0592
49,Female,68126.35,Rural,Text,Food,Social Media,4,2024-02-24 20:45:56.898459,0.1912,0.0563
68,Female,64585.73,Suburban,Text,Health,Website,6,2023-12-13 20:45:56.898459,0.1122,0.0232
63,Male,21109.4,Urban,Native,Fashion,Search Engine,5,2023-07-02 20:45:56.898459,0.1426,0.0539
20,Male,39576.44,Suburban,Video,Health,Social Media,5,2024-02-19 20:45:56.898459,0.1824,0.0424
49,Female,64175.02,Rural,Text,Food,Search Engine,6,2023-09-09 20:45:56.898459,0.217,0.0383
32,Female,86262.4,Rural,Banner,Food,Social Media,4,2023-12-21 20:45:56.898459,0.1728,0.0707
33,Male,25917.02,Rural,Video,Food,Search Engine,3,2023-10-05 20:45:56.898459,0.0347,0.0488
41,Male,79881.45,Rural,Text,Technology,Social Media,6,2023-07-25 20:45:56.898459,0.077,0.0268
37,Male,23818.88,Rural,Banner,Food,Search Engine,2,2023-11-24 20:45:56.898459,0.2038,0.053
56,Male,84335.16,Rural,Video,Food,Search Engine,8,2024-01-03 20:45:56.898459,0.164,0.0777
46,Male,14832.77,Urban,Video,Health,Search Engine,4,2023-11-22 20:45:56.898459,0.267,0.0492
36,Male,56217.3,Rural,Native,Fashion,Search Engine,3,2023-09-07 20:45:56.898459,0.1816,0.0588
41,Female,18577.67,Suburban,Native,Health,Search Engine,4,2024-04-17 20:45:56.898459,0.3894,0.034
40,Female,36197.15,Suburban,Video,Technology,Website,5,2023-11-08 20:45:56.898459,0.0411,0.0336
57,Female,29682.04,Rural,Video,Technology,Search Engine,10,2023-12-07 20:45:56.898459,0.119,0.0538
31,Male,58803.46,Urban,Video,Finance,Search Engine,7,2023-06-19 20:45:56.898459,0.0919,0.0716
39,Male,83984.08,Suburban,Native,Food,Search Engine,2,2024-03-13 20:45:56.898459,0.2154,0.071
22,Male,84372.99,Suburban,Native,Food,Website,5,2023-09-25 20:45:56.898459,0.1317,0.0536
-3,Female,61366.34,Urban,Banner,Health,Search Engine,6,2024-01-04 20:45:56.898459,0.0768,0.0417
44,Male,64462.59,Suburban,Banner,Food,Website,5,2023-10-20 20:45:56.898459,0.2373,0.1022
47,Female,51481.84,Urban,Native,Health,Search Engine,4,2023-06-08 20:45:56.898459,0.0358,0.0543
23,Female,43155.09,Rural,Video,Technology,Social Media,4,2023-11-24 20:45:56.898459,0.1346,0.0559
69,Female,40065.86,Rural,Native,Technology,Social Media,1,2024-03-15 20:45:56.898459,0.2226,0.048
13,Female,64109.49,Urban,Video,Finance,Website,5,2023-08-04 20:45:56.898459,0.0773,0.0111
35,Male,76422.96,Urban,Banner,Fashion,Website,8,2024-03-20 20:45:56.898459,0.3863,0.0466
32,Male,55448.78,Suburban,Native,Health,Social Media,6,2023-10-25 20:45:56.898459,0.5843,0.0777
57,Female,62817.58,Rural,Native,Food,Website,4,2023-08-20 20:45:56.898459,0.1057,0.0547
57,Male,30756.85,Urban,Banner,Travel,Social Media,0,2023-09-11 20:45:56.898459,0.232,0.0508
37,Male,43693.41,Urban,Video,Finance,Social Media,6,2023-11-03 20:45:56.898459,0.2854,0.0664
40,Female,22501.59,Suburban,Banner,Travel,Social Media,4,2024-03-29 20:45:56.898459,0.2823,0.0538
21,Female,63582.98,Urban,Text,Health,Search Engine,4,2023-07-21 20:45:56.898459,0.1279,0.0658
5,Male,34118.46,Suburban,Banner,Fashion,Search Engine,7,2024-03-02 20:45:56.898459,0.21,0.0666
29,Other,29809.49,Suburban,Native,Finance,Search Engine,7,2023-10-28 20:45:56.898459,0.1981,0.0401
37,Female,22150.6,Urban,Video,Travel,Website,5,2023-09-07 20:45:56.898459,0.0864,0.0631
53,Male,45947.1,Rural,Video,Health,Website,5,2023-11-10 20:45:56.898459,0.0538,0.0303
53,Male,51355.06,Urban,Banner,Fashion,Search Engine,6,2023-10-20 20:45:56.898459,0.2863,0.058
29,Female,46982.03,Urban,Text,Food,Website,6,2023-07-31 20:45:56.898459,0.0427,0.0224
30,Female,60828.37,Rural,Text,Finance,Search Engine,3,2024-01-28 20:45:56.898459,0.4255,0.0391
19,Female,64288.68,Rural,Native,Technology,Search Engine,6,2023-10-25 20:45:56.898459,0.1025,0.0398
13,Female,36588.14,Urban,Video,Technology,Website,4,2023-11-09 20:45:56.898459,0.3088,0.0669
9,Male,23402.82,Rural,Native,Travel,Social Media,5,2024-01-22 20:45:56.898459,0.3478,0.0262
64,Male,23174.34,Rural,Text,Travel,Social Media,3,2023-07-31 20:45:56.898459,0.071,0.0678
27,Male,38731.09,Suburban,Native,Travel,Social Media,4,2023-09-29 20:45:56.898459,0.2015,0.0658
28,Female,44166.67,Rural,Native,Fashion,Website,6,2023-09-03 20:45:56.898459,0.2729,0.051
16,Male,65458.88,Urban,Banner,Food,Search Engine,7,2023-05-22 20:45:56.898459,0.1489,0.0432
46,Male,80284.95,Rural,Text,Health,Social Media,2,2023-08-09 20:45:56.898459,0.1177,0.0342
10,Male,49443.9,Urban,Native,Travel,Website,4,2023-09-12 20:45:56.898459,0.3132,0.0428
31,Male,39963.08,Suburban,Native,Finance,Social Media,8,2023-08-13 20:45:56.898459,0.2173,0.0266
21,Male,62354.16,Urban,Text,Travel,Website,5,2023-08-15 20:45:56.898459,0.2819,0.0516
40,Other,50849.01,Suburban,Video,Travel,Search Engine,5,2023-06-14 20:45:56.898459,0.1592,0.0306
27,Male,55531.81,Urban,Text,Fashion,Social Media,5,2023-05-12 20:45:56.898459,0.0983,0.0484
17,Other,62807.1,Rural,Native,Fashion,Website,7,2023-10-02 20:45:56.898459,0.3698,0.05
34,Male,39949.18,Urban,Native,Finance,Search Engine,1,2024-01-04 20:45:56.898459,0.2505,0.0315
41,Female,61847.07,Suburban,Native,Technology,Search Engine,5,2023-12-16 20:45:56.898459,0.2261,0.0206
35,Female,62957.24,Urban,Banner,Fashion,Social Media,3,2023-05-17 20:45:56.899351,0.2871,0.0664
39,Female,19111.23,Suburban,Banner,Fashion,Social Media,8,2023-09-03 20:45:56.899351,0.1673,0.0506
25,Female,24840.5,Rural,Banner,Travel,Search Engine,3,2024-04-09 20:45:56.899351,0.2716,0.0402
29,Other,75618.52,Rural,Banner,Travel,Website,8,2023-07-27 20:45:56.899351,0.1348,0.0562
24,Female,62707.68,Urban,Video,Fashion,Social Media,6,2023-07-02 20:45:56.899351,0.1208,0.0495
29,Female,58263.49,Suburban,Text,Health,Website,9,2023-04-27 20:45:56.899351,0.2912,0.0598
22,Female,56317.49,Urban,Text,Food,Website,6,2023-07-29 20:45:56.899351,0.1866,0.0598
9,Female,73602.32,Urban,Video,Travel,Search Engine,8,2023-07-11 20:45:56.899351,0.0731,0.036
37,Male,40871.66,Urban,Native,Finance,Website,4,2023-06-09 20:45:56.899351,0.0723,0.0459
28,Female,58183.05,Rural,Banner,Travel,Website,1,2023-12-25 20:45:56.899351,0.0407,0.0187
10,Male,20402.04,Urban,Banner,Food,Website,5,2024-04-03 20:45:56.899351,0.386,0.0342
41,Male,75458.8,Urban,Video,Food,Social Media,1,2023-09-09 20:45:56.899351,0.079,0.0303
21,Male,33990.5,Rural,Native,Technology,Social Media,4,2023-07-13 20:45:56.899351,0.4223,0.04
