age_range,gender,income_range,location,ad_type,ad_topic,ctr,conversion_rate,conv_per_impr,ub
15-25,Female,0-25k,Rural,Banner,Fashion,0.0683,0.1183,0.00807989,5000
15-25,Female,0-25k,Rural,Banner,Health,0.03186666666666666,0.12639999999999998,0.004027946666666666,5000
15-25,Female,0-25k,Rural,Banner,Technology,0.078,0.0887,0.0069186000000000004,5000
15-25,Female,0-25k,Rural,Banner,Travel,0.0495,0.270775,0.0134033625,5000
15-25,Female,0-25k,Rural,Native,Health,0.0578,0.1345,0.0077741,5000
15-25,Female,0-25k,Rural,Native,Technology,0.018349999999999998,0.30645,0.0056233575,5000
15-25,Female,0-25k,Rural,Text,Finance,0.0422,0.09145,0.00385919,5000
15-25,Female,0-25k,Rural,Text,Health,0.05723333333333334,0.2907,0.016637730000000003,5000
15-25,Female,0-25k,Rural,Text,Technology,0.0365,0.2778,0.0101397,5000
15-25,Female,0-25k,Rural,Video,Finance,0.039,0.18723333333333333,0.0073021,5000
15-25,Female,0-25k,Rural,Video,Food,0.0286,0.1937,0.00553982,5000
15-25,Female,0-25k,Rural,Video,Health,0.0407,0.1138,0.00463166,5000
15-25,Female,0-25k,Rural,Video,Technology,0.02945,0.14805000000000001,0.0043600725,5000
15-25,Female,0-25k,Suburban,Banner,Fashion,0.0463,0.2425,0.01122775,5000
15-25,Female,0-25k,Suburban,Banner,Finance,0.0467,0.1685,0.00786895,5000
15-25,Female,0-25k,Suburban,Banner,Health,0.03685,0.07335,0.0027029475,5000
15-25,Female,0-25k,Suburban,Native,Finance,0.067,0.1664,0.0111488,5000
15-25,Female,0-25k,Suburban,Native,Health,0.0498,0.295,0.014691,5000
15-25,Female,0-25k,Suburban,Native,Technology,0.0658,0.1165,0.0076657,5000
15-25,Female,0-25k,Suburban,Text,Fashion,0.02175,0.13190000000000002,0.002868825,5000
15-25,Female,0-25k,Suburban,Text,Finance,0.0389,0.1403,0.0054576699999999995,5000
15-25,Female,0-25k,Suburban,Text,Health,0.04815,0.2237,0.010771155,5000
15-25,Female,0-25k,Suburban,Text,Technology,0.057,0.0962,0.0054834,5000
15-25,Female,0-25k,Suburban,Video,Finance,0.07,0.2103,0.014721,5000
15-25,Female,0-25k,Suburban,Video,Technology,0.0531,0.399,0.0211869,5000
15-25,Female,0-25k,Suburban,Video,Travel,0.03805,0.0615,0.002340075,5000
15-25,Female,0-25k,Urban,Banner,Finance,0.0715,0.0654,0.0046761,5000
15-25,Female,0-25k,Urban,Banner,Food,0.058,0.13005,0.0075429,5000
15-25,Female,0-25k,Urban,Banner,Health,0.044950000000000004,0.16845,0.0075718275,5000
15-25,Female,0-25k,Urban,Banner,Travel,0.0516,0.24255,0.01251558,5000
15-25,Female,0-25k,Urban,Native,Finance,0.086,0.0681,0.005856599999999999,5000
15-25,Female,0-25k,Urban,Native,Health,0.003,0.1112,0.0003336,5000
15-25,Female,0-25k,Urban,Native,Technology,0.0532,0.3262,0.01735384,5000
15-25,Female,0-25k,Urban,Text,Finance,0.0606,0.1208,0.007320480000000001,5000
15-25,Female,0-25k,Urban,Text,Health,0.0778,0.0813,0.006325139999999999,5000
15-25,Female,0-25k,Urban,Text,Technology,0.0546,0.169,0.009227400000000002,5000
15-25,Female,0-25k,Urban,Text,Travel,0.0297,0.1531,0.00454707,5000
